id,name,icon,type,reward,quality,sale,num,dec
90001,羽毛,90001,1,-1,4,1000,99999,可以替代金子进行翅膀的高级培养
90002,强化石,90002,1,-1,1,100,99999,装备强化消耗的材料
90003,传承符,90003,1,-1,5,2000,99999,装备传承消耗的材料
90004,青铜钥匙,90004,1,-1,3,1000,99999,用于开启青铜宝箱
90005,白银钥匙,90005,1,-1,4,1000,99999,用于开启白银宝箱
90006,黄金钥匙,90006,1,-1,5,1000,99999,用于开启黄金宝箱
90007,装备入场券,90007,1,-1,2,1000,99999,用于进入装备副本
90008,龙魂入场券,90008,1,-1,2,1000,99999,用于进入龙魂副本
90009,炼狱入场券,90009,1,-1,4,1000,99999,用于进入炼狱副本
90010,BOSS替代令,90010,1,-1,4,1000,99999,用于进入炼狱副本，5个boss替代令他可以抵用一张炼狱入场券
90011,助威酒,90011,1,-1,3,1000,99999,用于国库激励使用
90101,小经验丹,90010,2,97000:100,1,-1,99999,用于增加玩家的经验
90102,中经验丹,90010,2,97000:1000,2,-1,99999,用于增加玩家的经验
90103,大经验丹,90010,2,97000:10000,3,-1,99999,用于增加玩家的经验
90104,海量经验丹,90010,2,97000:100000,4,-1,99999,用于增加玩家的经验
90105,超级经验丹,90010,2,97000:1000000,5,-1,99999,用于增加玩家的经验
90201,小福气丹,90020,2,97002:100,1,-1,99999,用于增加玩家的福气值
90301,普通淬炼宝石,90301,1,-1,2,1000,99999,装备升星消耗的材料
90302,中等淬炼宝石,90302,1,-1,3,1000,99999,装备升星消耗的材料
90303,高等淬炼宝石,90303,1,-1,4,1000,99999,装备升星消耗的材料
90304,完美淬炼宝石,90304,1,-1,5,1000,99999,装备升星消耗的材料
91001,一等切玉石,91001,1,28001,1,1000,99999,用于镶嵌在装备的宝石槽中，或者合成更高级的宝石
91101,一等集雨石,91101,1,28101,1,1000,99999,用于镶嵌在装备的宝石槽中，或者合成更高级的宝石
91201,一等玄武石,91201,1,28201,1,1000,99999,用于镶嵌在装备的宝石槽中，或者合成更高级的宝石
91301,一等麒麟石,91301,1,28301,1,1000,99999,用于镶嵌在装备的宝石槽中，或者合成更高级的宝石
91401,一等青衣石,91401,1,28401,1,1000,99999,用于镶嵌在装备的宝石槽中，或者合成更高级的宝石
91501,一等落尘石,91501,1,28501,1,1000,99999,用于镶嵌在装备的宝石槽中，或者合成更高级的宝石
91601,一等狂歌石,91601,1,28601,1,1000,99999,用于镶嵌在装备的宝石槽中，或者合成更高级的宝石
91701,一等沉山石,91701,1,28701,1,1000,99999,用于镶嵌在装备的宝石槽中，或者合成更高级的宝石
